bedrooms,bathrooms,toilets,parking_space,title,town,state,price
6.0,5.0,5.0,4.0,Detached Duplex,Mabushi,Abuja,450000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Katampe,Abuja,800000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,4.0,5.0,6.0,Detached Duplex,Ajah,Lagos,40000000.0
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,75000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Lekki,Lagos,450000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,65000000.0
2.0,2.0,3.0,6.0,Detached Bungalow,Epe,Lagos,12000000.0
1.0,1.0,1.0,1.0,Detached Duplex,Lekki,Lagos,200000000.0
4.0,4.0,5.0,5.0,Detached Duplex,Ajah,Lagos,60000000.0
3.0,4.0,5.0,4.0,Terraced Duplexes,Lokogoma District,Abuja,25000000.0
6.0,6.0,6.0,4.0,Semi Detached Duplex,Oredo,Edo,45000000.0
4.0,5.0,6.0,3.0,Semi Detached Duplex,Lekki,Lagos,65000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,70000000.0
6.0,6.0,7.0,4.0,Detached Duplex,Victoria Island (VI),Lagos,450000000.0
3.0,4.0,4.0,3.0,Detached Bungalow,Mowe Ofada,Ogun,12000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,48000000.0
3.0,3.0,4.0,4.0,Detached Bungalow,Lokogoma District,Abuja,37000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Victoria Island (VI),Lagos,170000000.0
3.0,3.0,4.0,2.0,Block of Flats,Ikeja,Lagos,350000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,85000000.0
3.0,3.0,4.0,4.0,Terraced Duplexes,Lekki,Lagos,34000000.0
4.0,5.0,5.0,2.0,Terraced Duplexes,Victoria Island (VI),Lagos,130000000.0
5.0,6.0,7.0,6.0,Detached Duplex,Katampe,Abuja,160000000.0
4.0,4.0,5.0,3.0,Detached Duplex,Ajah,Lagos,60000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,270000000.0
5.0,6.0,5.0,4.0,Detached Duplex,Lekki,Lagos,250000000.0
4.0,4.0,5.0,5.0,Detached Duplex,Lekki,Lagos,180000000.0
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,75000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,270000000.0
6.0,8.0,8.0,3.0,Detached Duplex,Ikoyi,Lagos,850000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Magodo,Lagos,140000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikoyi,Lagos,700000000.0
2.0,3.0,5.0,4.0,Block of Flats,Mowe Ofada,Ogun,7000000.0
5.0,5.0,6.0,6.0,Detached Duplex,Kaura,Abuja,150000000.0
4.0,4.0,5.0,8.0,Detached Duplex,Galadimawa,Abuja,70000000.0
3.0,5.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,40000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Oredo,Edo,70000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,55000000.0
6.0,6.0,7.0,8.0,Detached Duplex,Gwarinpa,Abuja,130000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Gwarinpa,Abuja,75000000.0
2.0,2.0,3.0,2.0,Block of Flats,Lekki,Lagos,30000000.0
2.0,2.0,3.0,4.0,Terraced Duplexes,Lekki,Lagos,53000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,270000000.0
5.0,5.0,5.0,4.0,Detached Bungalow,Katampe,Abuja,130000000.0
3.0,3.0,4.0,4.0,Block of Flats,Lekki,Lagos,25500000.0
5.0,5.0,6.0,4.0,Detached Duplex,Magodo,Lagos,235000000.0
3.0,3.0,4.0,3.0,Terraced Duplexes,Lekki,Lagos,65000000.0
4.0,4.0,4.0,3.0,Terraced Duplexes,Lekki,Lagos,55000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,69000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,105000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Ajah,Lagos,60000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikoyi,Lagos,1100000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Gwarinpa,Abuja,300000000.0
2.0,2.0,2.0,4.0,Detached Bungalow,Abeokuta North,Ogun,4000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,105000000.0
8.0,8.0,8.0,4.0,Block of Flats,Oredo,Edo,36000000.0
4.0,4.0,5.0,1.0,Semi Detached Duplex,Galadimawa,Abuja,50000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Ajah,Lagos,60000000.0
5.0,6.0,7.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0
3.0,4.0,4.0,6.0,Detached Duplex,Lugbe District,Abuja,30000000.0
